Episode 1290, Steps: 13, Reward: -4950, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 14090.1875
Episode 1300, Steps: 15, Reward: -4985, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 20009.6701
Episode 1310, Steps: 169, Reward: -5148, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 22820.6227
Episode 1320, Steps: 16, Reward: -4970, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 11427.4239
Episode 1330, Steps: 20, Reward: -4951, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 11820.8685
Episode 1340, Steps: 20, Reward: -4986, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 10797.4217
Episode 1350, Steps: 11, Reward: -4976, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 10439.6431
Episode 1360, Steps: 10, Reward: -4986, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 10130.8511
Episode 1370, Steps: 11, Reward: -4987, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 11980.7393
Episode 1380, Steps: 10, Reward: -4986, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 14599.0013
Episode 1390, Steps: 11, Reward: -4976, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16406.4705
Episode 1400, Steps: 10, Reward: -4976, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16492.6440
Episode 1410, Steps: 24, Reward: -4990, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 13278.0660
Episode 1420, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 14446.5357
Episode 1430, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16256.9858
Episode 1440, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18114.4327
Episode 1450, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17412.0255
Episode 1460, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18723.8525
Episode 1470, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18860.7230
Episode 1480, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 21171.7248
Episode 1490, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17731.7028
Episode 1500, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16289.0665
